specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Fuel Terminal,Port Hedland,Port Hedland,Port Hedland Asset Model,-20.31406975,118.5822296
Asset,Fuel Depot,Port Hedland,Port Hedland,Port Hedland Asset Model,-20.36966604,118.5869605
Asset,Fuel Depot,Wedgefield,Port Hedland,Port Hedland Asset Model,-20.38083458,118.5910568
Asset,Hydrogen Hub,Pilbara Hydrogen Hub,Port Hedland,Port Hedland Asset Model,-20.31,118.601111
Asset,Substation,South Hedland,Port Hedland,Port Hedland Asset Model,-20.4092555,118.6160485
Asset,Natural Gas Power Station,Onslow,Ashburton,Ashburton Asset Model,-21.65822155,115.0990248
Asset,Substation,Pannawomica,Ashburton,Ashburton Asset Model,-21.68011957,116.4644209
Asset,Substation,Millstream,Ashburton,Ashburton Asset Model,-21.24350431,116.9746552
Asset,Solar Farm First Nations,Yindjibarndi Solar Farm,Ashburton,Ashburton Asset Model,-21.59061322,117.5730463
Asset,Battery Energy Storage System First Nations,Yindjibarndi,Ashburton,Ashburton Asset Model,-21.62964333,117.5815421
Asset,Substation,Paraburdoo,Ashburton,Ashburton Asset Model,-23.2224474,117.6130232
Asset,Natural Gas Power Station,Paraburdoo,Ashburton,Ashburton Asset Model,-23.2232601,117.613267
Asset,Natural Gas Power Station,Paraburdoo (Standby),Ashburton,Ashburton Asset Model,-23.22382354,117.6136744
Asset,Wind Farm First Nations,Yindjibarndi,Ashburton,Ashburton Asset Model,-21.59741896,117.6242825
Asset,Substation,Tom Price,Ashburton,Ashburton Asset Model,-22.73596814,117.7762885
Asset,Natural Gas Power Station,Solomon Iron Ore Mine,Ashburton,Ashburton Asset Model,-22.15813879,117.9848638
Asset,Fossil Fuel Power Station,Cloudbreak,Ashburton,Ashburton Asset Model,-22.32471027,119.404017
Asset,Substation,Karratha ,Karratha,Karratha Asset Model,-20.762308,116.8348525
Asset,Natural Gas Power Station,Karratha,Karratha,Karratha Asset Model,-20.762567,116.837473
Asset,University,Pilbara Kimberley University Centres Karratha,Karratha,Karratha Asset Model,-20.73347641,116.8451987
Asset,Fuel Depot,Karratha,Karratha,Karratha Asset Model,-20.77553177,116.8608856
Asset,Natural Gas Power Station,Cape Preston,Karratha,Karratha Asset Model,-21.07670614,116.1590157
Asset,Natural Gas Power Station,Dampier,Karratha,Karratha Asset Model,-20.647985,116.721904
Asset,Substation,Dampier,Karratha,Karratha Asset Model,-20.64893804,116.7220438
Asset,Fuel Terminal,Dampier,Karratha,Karratha Asset Model,-20.6452837,116.7240219
Asset,Natural Gas Power Station,Yurralyi Maya (Karratha Seven Mile),Karratha,Karratha Asset Model,-20.762,116.742
Asset,Substation,Yurralyi Maya,Karratha,Karratha Asset Model,-20.76270789,116.7426053
Asset,Natural Gas Power Station,Burrup Peninsula (Pluto Phase 1),Karratha,Karratha Asset Model,-20.59368,116.78015
Asset,Natural Gas Power Station,Burrup Peninsula (Karratha Gas Plant),Karratha,Karratha Asset Model,-20.628649,116.782147
Asset,Hydrogen Hub,Yuri Renewable Hydrogen to Ammonia Project,Karratha,Karratha Asset Model,-20.624733,116.783359
Asset,Substation,Cape Lambert ,Karratha,Karratha Asset Model,-20.6535305,117.1391075
Asset,Natural Gas Power Station,Cape Lambert,Karratha,Karratha Asset Model,-20.64877064,117.1407313
Asset,Fuel Terminal,Cape Lambert,Karratha,Karratha Asset Model,-20.60061169,117.1689072
Asset,Wind Farm,Esperance Wind Farm Ten Mile Lagoon,Esperance,Esperance Asset Model,-33.88016906,121.7690389
Asset,Wind Farm,Esperance Wind Farm Nine Mile Beach,Esperance,Esperance Asset Model,-33.89271,121.77778
Asset,Fuel Terminal,Esperance,Esperance,Esperance Asset Model,-33.85106659,121.8953514
Asset,Fuel Depot,Chadwick,Esperance,Esperance Asset Model,-33.85218811,121.8966141
Asset,Fuel Terminal,Esperance,Esperance,Esperance Asset Model,-33.8512001,121.897583
Asset,Natural Gas Power Station,Esperance,Esperance,Esperance Asset Model,-33.8762,121.8998
Asset,Fuel Depot,Ravensthorpe,Ravensthorpe,Ravensthorpe Asset Model,-33.58230972,120.0431099
Asset,Wind Farm,Hopetoun Wind Turbines,Ravensthorpe,Ravensthorpe Asset Model,-33.90776359,120.1296812
Asset,Fossil Fuel Power Station,Hopetoun Diesel Backup,Ravensthorpe,Ravensthorpe Asset Model,-33.90504892,120.129934
Asset,Fossil Fuel Power Station,Ravensthorpe,Ravensthorpe,Ravensthorpe Asset Model,-33.61,120.36
Asset,Wheat Farm,Kalyx Perth,Esperance,Esperance Asset Model,-33.59479,121.19654
Asset,Wheat Farm,Kalyx Perth,Esperance,Esperance Asset Model,-33.66785,121.75334
Asset,Wheat Farm,Kalyx Perth,Esperance,Esperance Asset Model,-33.66785,121.75334
Asset,Wheat Farm,Kalyx Perth,Esperance,Esperance Asset Model,-33.04745,121.67716
Asset,Wheat Farm,Kalyx Perth,Esperance,Esperance Asset Model,-33.38397,121.88295
Asset,Wheat Farm,Kalyx Perth,Ravensthorpe,Ravensthorpe Asset Model,-33.27023,119.97752
Asset,Solar Farm,Carnarvon Solar Farm,Carnarvon,Carnarvon Asset Model,-24.89702912,113.6741161
Asset,Natural Gas Power Station,Mungullah,Carnarvon,Carnarvon Asset Model,-24.89105146,113.7095328
Asset,Fuel Depot,Carnarvon,Carnarvon,Carnarvon Asset Model,-24.8818512,113.6980286
Asset,Natural Gas Power Station,Carnarvon,Carnarvon,Carnarvon Asset Model,-24.86915968,113.6753754
Asset,Hydrogen Hub,Denham Hydrogen Demonstration Plant,Shark Bay,Shark Bay Asset Model,-25.927566,113.541262
Asset,Fossil Fuel Power Station,Denham Diesel Backup,Shark Bay,Shark Bay Asset Model,-25.91672484,113.5339545
Asset,Wind Farm,Denham Wind Turbines,Shark Bay,Shark Bay Asset Model,-25.91152387,113.549311
Asset,Fossil Fuel Power Station,Gascoyne Junction,Upper Gascoyne,Upper Gascoyne Asset Model,-25.05569376,115.2082892
Asset,Hydrogen Hub,HyEnergy Project,Carnarvon,Carnarvon Asset Model,-24.740207,113.627528
Asset,Hydrogen Hub,Boolathana Project,Carnarvon,Carnarvon Asset Model,-24.652676,113.693627
Asset,Wind Farm,Coral Bay Wind Turbines,Carnarvon,Carnarvon Asset Model,-23.15441917,113.7720668
Asset,Fossil Fuel Power Station,Coral Bay Diesel Backup,Carnarvon,Carnarvon Asset Model,-23.15214432,113.776179
Asset,Natural Gas Power Station,Exmouth,Exmouth,Exmouth Asset Model,-21.94645795,114.1249981
Asset,Wind Farm,Exmouth Advanced Mini Wind Farm,Exmouth,Exmouth Asset Model,-21.8126315,114.1335056
Asset,Substation,Boulder,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.7804665,121.493426
Asset,Fuel Depot,West Kalgoorlie,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.77877522,121.4250565
Asset,Fuel Depot,Kalgoorlie,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.77976036,121.4257431
Asset,Fuel Depot,West Kalgoorlie,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.77810288,121.4261475
Asset,Fuel Depot,West Kalgoorlie,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.77734566,121.4274063
Asset,Fuel Depot,West Kalgoorlie,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.77634049,121.4292183
Asset,Substation,Parkeston,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.7376817,121.5059929
Asset,Natural Gas Power Station,Kalgoorlie (Parkeston),Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.73781,121.506543
Asset,Substation,Piccadilly,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.74556088,121.4642171
Asset,Solar Farm,Sandy Ridge Solar Farm,Coolgardie,Coolgardie Asset Model,-30.36659771,120.0980943
Asset,Fossil Fuel Power Station,Norseman Mine,Dundas,Dundas Asset Model,-32.1962648,121.7943338
Asset,Solar Farm,Nova Solar Farm,Dundas,Dundas Asset Model,-31.8058084,123.1736559
Asset,Hydrogen Hub,Western Green Energy Hub,Dundas,Dundas Asset Model,-31.48454,128.61972
Asset,Solar Farm First Nations,Western Green Energy Hub Solar Farm,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-31.19559948,128.5952859
Asset,Wind Farm First Nations,Western Green Energy Hub,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-31.3096781,128.6067896
Asset,Natural Gas Power Station,Cawse Nickel Mine,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.38080581,121.1634809
Asset,Substation,Black Flag,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.53712458,121.2432054
Asset,Fossil Fuel Power Station,West Kalgoorlie,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.780635,121.423355
Asset,Substation,West Kalgoorlie ,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.78134576,121.4239909
Asset,Natural Gas Power Station,Kalgoorlie Nickel Smelter,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.873669,121.484188
Asset,Substation,Western Mining Smelter,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.874754,121.4863045
Asset,Natural Gas Power Station,Kambalda,Coolgardie,Coolgardie Asset Model,-31.19193479,121.6740843
Asset,Substation,Western Mining Kambalda,Coolgardie,Coolgardie Asset Model,-31.19239672,121.6749776
Asset,Substation,Jan,Coolgardie,Coolgardie Asset Model,-31.36989176,121.801994
Asset,Solar Farm,Carosue Dam Solar Farm,Kalgoorlie-Boulder,Kalgoorlie-Boulder Asset Model,-30.15916641,122.3644388
Asset,Battery Energy Storage System First Nations,Tjiwarl Katu Power,Leonora,Leonora Asset Model,-27.48082725,120.5443375
Asset,Solar Farm First Nations,Tjiwarl Katu Power Solar Farm,Leonora,Leonora Asset Model,-27.48040866,120.545917
Asset,Wind Farm First Nations,Tjiwarl Katu Power,Leonora,Leonora Asset Model,-27.47637015,120.55452
Asset,Natural Gas Power Station,Leinster Nickel Mine,Leonora,Leonora Asset Model,-27.81412138,120.6989963
